Association,,Age (Myr),Age err (Myr),Age Method,Age Reference,Distance (pc),Distance err,Distance Method,Reference,
118 Tau,,10,,,Gange2018,,,,,
Argus,,45,5,isochrones,Zuckerman 2019,,,,,
Chamaeleon I ,,1.5,0.5,isochrones,Galli 2021,North:191.4 South: 186.7,"North:0.8, South:1",GAIA DR2 astrometry,Galli 2021,
Corona-Australis,,1.5,0.5,isochrones,Esplin and Luhman 2022,,,,,
IC 348,,4,2,isochrone fitting ,Bell2013,321,10,GAIA DR2 astrometry,Ortiz-León et al. 2018,
Lagoon Nebula,,1,0.5,"CMDs, isochrones",Kalari 2015,1326,-69/+77,GAIA DR2 astrometry,Wright2019,
Lupus,,2.6,0.5,Isochrones,Galli2020,158.3,0.6,GAIA DR2 astrometry,Galli2020,Luhman2020
Lupus 1,,1.2,0.6,Isochrones,Galli2020,154.9,-3.4/+3.2,GAIA DR2 astrometry,Galli2020,
Lupus 2,,2.6,0.5,Isochrones,Galli2020,157.7,-5.3/+6.9,GAIA DR2 astrometry,Galli2020,
Lupus 3,,2.5,0.5,Isochrones,Galli2020,158.9,0.7,GAIA DR2 astrometry,Galli2020,
Lupus 4,,2.4,1.3,Isochrones,Galli2020,160.2,0.9,GAIA DR2 astrometry,Galli2020,
NGC 2024,,1.1,1,absolute isochrone fitting,Kounkel2018,,,,,
Ophiuchus Complex,,5,,absolute magnitude from GAIA parallax,Esplin 2020,,,,,
25 Orionis,,6.2,2.3,absolute isochrone fitting,Kounkel2018,354,3,,Kounkel2018,
Orion Nebular Cluster,,1.6,1.4,absolute isochrone fitting,Kounkel2018,,,,,
p Oph,,6,,absolute magnitude from GAIA parallax,Esplin 2020,140,,GAIA DR2 parallax,Esplin 2020,
"p Oph/clouds (L1688, L1689, L1709)",,2,1.2,2.6.,Esplin 2020,140,,GAIA DR2 parallax,Esplin 2020,
p Oph/L1688,,2,1.2,absolute magnitude from GAIA parallax,Esplin 2020,138,,GAIA DR2 parallax,Esplin 2020,
p Oph/L1689,,2,1.2,absolute magnitude from GAIA parallax,Esplin 2020,145,,GAIA DR2 parallax,Esplin 2020,
p Oph/L1709,,2,1.2,absolute magnitude from GAIA parallax,Esplin 2020,137,,GAIA DR2 parallax,Esplin 2020,
Perseus/Per OB2,,5,5,isochrones,Azimlu2015,,,,,
Sh 2-284,,3.5,1,isochrones,Kalari 2015,,,,,
Taurus ,,2,1,Bayesian Isochrone fitting,Krolikowski2021,140,,,Krolikowski2021,
Taurus/118TauE,C9,6.13,2.63,Bayesian Isochrone fitting,Krolikowski2021,109.54,,GAIA DR2 parallax,Krolikowski2021,
Taurus/118TauW,C10,41.46,34.97,Bayesian Isochrone fitting,Krolikowski2021,105.43,,GAIA DR2 parallax,Krolikowski2021,
Taurus/B213,C8,3.09,0.92,Bayesian Isochrone fitting,Krolikowski2021,155.94,,GAIA DR2 parallax,Krolikowski2021,
Taurus/L1495,C2,1.34,0.19,Bayesian Isochrone fitting,Krolikowski2021,129.53,,GAIA DR2 parallax,Krolikowski2021,
Taurus/L1517-Center,C4,2.53,0.97,Bayesian Isochrone fitting,Krolikowski2021,155.19,,GAIA DR2 parallax,Krolikowski2021,
Taurus/L1517-Halo,C3,2.34,0.52,Bayesian Isochrone fitting,Krolikowski2021,157.33,,GAIA DR2 parallax,Krolikowski2021,
Taurus/L1524,C6,1.57,0.18,Bayesian Isochrone fitting,Krolikowski2021,128.4,,GAIA DR2 parallax,Krolikowski2021,
Taurus/L1527,C7,2.59,0.78,Bayesian Isochrone fitting,Krolikowski2021,141.81,,GAIA DR2 parallax,Krolikowski2021,
Taurus/L1544,D1,3.4,0.9,Bayesian Isochrone fitting,Krolikowski2021,168.09,,GAIA DR2 parallax,Krolikowski2021,
Taurus/L1546,C5,2.01,0.32,Bayesian Isochrone fitting,Krolikowski2021,160.76,,GAIA DR2 parallax,Krolikowski2021,
Taurus/L1551,C1,1.73,0.24,Bayesian Isochrone fitting,Krolikowski2021,144.74,,GAIA DR2 parallax,Krolikowski2021,
Taurus/L1558,D2,3.27,0.42,Bayesian Isochrone fitting,Krolikowski2021,147.4,,GAIA DR2 parallax,Krolikowski2021,
Taurus/North,D4,2.49,0.35,Bayesian Isochrone fitting,Krolikowski2021,142.86,,GAIA DR2 parallax,Krolikowski2021,
Taurus/South,D3,6.22,1.68,Bayesian Isochrone fitting,Krolikowski2021,122.89,,GAIA DR2 parallax,Krolikowski2021,
Tucana-Horologium,,45,4,absolute isochrone fitting,Bell2015,,,,,
TW Hya,,10,3,,Bell 2015,50,,,https://iopscience.iop.org/article/10.3847/2041-8205/822/1/L1/pdf,
Upper Centaurus Lupus,,16,2,isochrones,Pecaut & Mamajek (2016).,130,-32/+62,kinematic distance,Pecaut & Mamajek (2016).,
Upper Scorpius,,10,3,isochrones,"Pecaut & Mamajek 2016 (T7), Luhman 2020",141,-37/+77,kinematic distance,Pecaut & Mamajek (2016).,
σ Ori,,1.9,1.6,absolute isochrone fitting,Kounkel2018,406,4,,Kounkel2018,
n Chamaeleontis,,11,3,absolute isochrone fitting,Bell2015,94,,Hipparcos parallax distance,van Leeuwen 2007,
B Pictoris,,24,3,absolute isochrone fitting,Bell2015,40,17,,Messina2016,
