age (Myr),qEEP,mass,Teff,logL,logg,radius
0.5,1,0.01,2387,-2.47,3.38,0.339
0.5,2,0.015,2514,-2.21,3.38,0.413
0.5,3,0.02,2594,-2.05,3.4,0.466
0.5,4,0.03,2668,-1.79,3.36,0.599
0.5,5,0.04,2733,-1.66,3.4,0.661
0.5,6,0.05,2762,-1.48,3.34,0.791
0.5,7,0.06,2808,-1.4,3.37,0.841
0.5,8,0.07,2835,-1.33,3.37,0.9
0.5,9,0.072,2832,-1.29,3.35,0.937
0.5,10,0.075,2836,-1.27,3.34,0.966
0.5,11,0.08,2837,-1.2,3.31,1.04
0.5,12,0.09,2864,-1.13,3.31,1.101
0.5,13,0.1,2925,-1.15,3.41,1.033
0.5,14,0.11,2945,-1.07,3.38,1.115
0.5,15,0.13,3006,-0.93,3.34,1.27
0.5,16,0.15,3076,-0.79,3.31,1.412
0.5,17,0.17,3139,-0.67,3.28,1.565
0.5,18,0.2,3220,-0.54,3.26,1.728
0.5,19,0.3,3460,-0.2,3.23,2.203
0.5,20,0.4,3670,-0.05,3.3,2.338
0.5,21,0.5,3848,0.07,3.36,2.444
0.5,22,0.6,3987,0.16,3.41,2.524
0.5,23,0.7,4110,0.26,3.43,2.657
0.5,24,0.8,4221,0.35,3.44,2.805
0.5,25,0.9,4315,0.43,3.45,2.944
0.5,26,1,4397,0.5,3.46,3.079
0.5,27,1.1,4471,0.57,3.47,3.209
0.5,28,1.2,4537,0.63,3.47,3.344
0.5,29,1.3,4596,0.68,3.47,3.469
0.5,30,1.4,4647,0.74,3.47,3.601
1,1,0.01,2345,-2.7,3.57,0.271
1,2,0.015,2504,-2.42,3.59,0.326
1,3,0.02,2598,-2.25,3.6,0.372
1,4,0.03,2710,-1.98,3.58,0.467
1,5,0.04,2779,-1.81,3.58,0.536
1,6,0.05,2824,-1.65,3.54,0.628
1,7,0.06,2864,-1.53,3.52,0.702
1,8,0.07,2897,-1.41,3.5,0.781
1,9,0.072,2896,-1.39,3.49,0.803
1,10,0.075,2897,-1.36,3.48,0.829
1,11,0.08,2898,-1.31,3.45,0.877
1,12,0.09,2908,-1.23,3.43,0.959
1,13,0.1,2936,-1.17,3.44,1.002
1,14,0.11,2955,-1.1,3.41,1.079
1,15,0.13,3012,-0.96,3.38,1.214
1,16,0.15,3078,-0.85,3.37,1.327
1,17,0.17,3142,-0.73,3.34,1.465
1,18,0.2,3226,-0.66,3.38,1.503
1,19,0.3,3428,-0.48,3.49,1.636
1,20,0.4,3634,-0.32,3.55,1.753
1,21,0.5,3802,-0.18,3.59,1.87
1,22,0.6,3955,-0.07,3.63,1.971
1,23,0.7,4078,0.04,3.64,2.096
1,24,0.8,4192,0.13,3.66,2.2
1,25,0.9,4290,0.21,3.66,2.31
1,26,1,4377,0.28,3.67,2.416
1,27,1.1,4456,0.35,3.68,2.52
1,28,1.2,4529,0.41,3.68,2.612
1,29,1.3,4596,0.47,3.69,2.71
1,30,1.4,4658,0.52,3.69,2.797
2,1,0.01,2236,-2.96,3.75,0.22
2,2,0.015,2452,-2.65,3.78,0.262
2,3,0.02,2571,-2.46,3.79,0.298
2,4,0.03,2707,-2.14,3.74,0.387
2,5,0.04,2784,-1.9,3.68,0.481
2,6,0.05,2829,-1.72,3.62,0.574
2,7,0.06,2867,-1.58,3.57,0.661
2,8,0.07,2902,-1.45,3.54,0.743
2,9,0.072,2907,-1.43,3.53,0.761
2,10,0.075,2914,-1.4,3.52,0.785
2,11,0.08,2924,-1.35,3.51,0.827
2,12,0.09,2934,-1.26,3.48,0.904
2,13,0.1,2972,-1.26,3.54,0.89
2,14,0.11,2996,-1.21,3.55,0.922
2,15,0.13,3034,-1.15,3.59,0.959
2,16,0.15,3076,-1.1,3.62,0.99
2,17,0.17,3126,-1.02,3.62,1.06
2,18,0.2,3202,-0.96,3.67,1.077
2,19,0.3,3428,-0.72,3.73,1.238
2,20,0.4,3606,-0.55,3.77,1.363
2,21,0.5,3763,-0.41,3.8,1.476
2,22,0.6,3906,-0.29,3.83,1.562
2,23,0.7,4033,-0.18,3.84,1.659
2,24,0.8,4153,-0.09,3.86,1.748
2,25,0.9,4259,0,3.87,1.833
2,26,1,4350,0.07,3.87,1.917
2,27,1.1,4432,0.14,3.88,1.995
2,28,1.2,4508,0.2,3.88,2.072
2,29,1.3,4581,0.26,3.89,2.148
2,30,1.4,4653,0.32,3.89,2.22
3,1,0.01,2142,-3.13,3.85,0.198
3,2,0.015,2406,-2.79,3.88,0.232
3,3,0.02,2545,-2.57,3.89,0.267
3,4,0.03,2706,-2.17,3.77,0.373
