#Title: Intrinsic Colors, Temperatures and Bolometric Corrections of Pre-main Sequence Stars		
#Authors: Pecaut M.J., Mamajek E.E.		
#Table: Intrinsic Colors of O9-M9 Dwarfs and Adopted Teff,Bolometric Correction Values		
#https://ui.adsabs.harvard.edu/abs/2013ApJS..208....9P/abstract		
SpTyIdentifier	Teff_K	Spectral_type
19	34000	O9
19.5	32000	O9.5
20	31500	B0
20.5	29000	B0.5
21	26000	B1
21.5	24800	B1.5
22	20600	B2
22.5	18500	B2.5
23	17000	B3
24	16700	B4
25	15700	B5
26	14500	B6
27	14000	B7
28	12500	B8
29	10700	B9
29.5	10400	B9.5
30	9700	A0
31	9200	A1
32	8840	A2
33	8550	A3
34	8270	A4
35	8080	A5
36	8000	A6
37	7800	A7
38	7500	A8
39	7440	A9
40	7200	F0
41	7030	F1
42	6810	F2
43	6720	F3
44	6640	F4
45	6510	F5
46	6340	F6
47	6240	F7
48	6150	F8
49	6040	F9
50	5920	G0
51	5880	G1
52	5770	G2
53	5720	G3
54	5680	G4
55	5660	G5
56	5590	G6
57	5530	G7
58	5490	G8
59	5340	G9
60	5280	K0
61	5170	K1
62	5040	K2
63	4840	K3
64	4620	K4
65	4450	K5
66	4200	K6
67	4050	K7
68	3970	K8
69	3880	K9
70	3850	M0
71	3680	M1
72	3550	M2
73	3400	M3
74	3200	M4
75	3050	M5
76	2800	M6
77	2650	M7
78	2570	M8
79	2450	M9
80	2400	L0
